Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,2517
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,176
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,418
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,622
India,Delhi,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,638
India,Delhi,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,489
India,Delhi,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,16
India,Delhi,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,6
India,Delhi,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,53
India,Delhi,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,13
India,Delhi,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,2
India,Delhi,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Delhi,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,651
India,Delhi,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,491
India,Delhi,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,6
India,Delhi,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,53
India,Delhi,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,16
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,20
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,55
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,1
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,10
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,1
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,3
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,1
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,21
India,Goa,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,58
India,Goa,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Goa,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,11
India,Goa,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,1
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,1141
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,1247
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,25
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,11
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,355
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,74
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,80
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,4
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,50
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,1
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,1
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,1216
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,1328
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,15
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,405
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,25
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,1029
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,978
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,55
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,145
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,63
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,62
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,3
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
