Country,State,Year,City Name,Additional Information,"Crime Rate (UOM:Number), Scaling Factor:1","Chargesheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rank Based On Incidence Or Percentage City Share To Total (UOM:Number), Scaling Factor:1"
India,Delhi,"Calendar Year (Jan - Dec), 2014",Delhi City,,875,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2014",Ahmedabad ,,68,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2014",Surat ,,5,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2014",Bengaluru ,,89,,,
India,Kerala,"Calendar Year (Jan - Dec), 2014",Kochi ,,3,,,
India,Kerala,"Calendar Year (Jan - Dec), 2014",Kozhikode ,,20,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2014",Indore ,,74,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",Mumbai ,,944,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",Nagpur ,,120,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2014",Pune ,,267,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2014",Jaipur ,,117,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2014",Chennai ,,221,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2014",Coimbatore ,,13,,,
India,Telangana,"Calendar Year (Jan - Dec), 2014",Hyderabad ,,82,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",Ghaziabad ,,7,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",Kanpur ,Data is under clarification.,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2014",Lucknow ,,5,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2014",Kolkata ,,16,,,
