Country,Year,Gender,Crime Head,Action Against Crime,"Number Of Disposal Persons Arrested For Crime Against Senior Citizen (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022",Female,Other IPC Crimes,Persons Acquitted,2
India,"Calendar Year (Jan - Dec), 2022",Female,Rape,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Female,Rape,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Rape,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Rape,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Rape,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Robbery,Persons Arrested,9
India,"Calendar Year (Jan - Dec), 2022",Female,Robbery,Persons Chargesheeted,6
India,"Calendar Year (Jan - Dec), 2022",Female,Robbery,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Robbery,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Robbery,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Simple Hurt,Persons Arrested,48
India,"Calendar Year (Jan - Dec), 2022",Female,Simple Hurt,Persons Chargesheeted,30
India,"Calendar Year (Jan - Dec), 2022",Female,Simple Hurt,Persons Convicted,1
India,"Calendar Year (Jan - Dec), 2022",Female,Simple Hurt,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Simple Hurt,Persons Acquitted,3
India,"Calendar Year (Jan - Dec), 2022",Female,Theft,Persons Arrested,11
India,"Calendar Year (Jan - Dec), 2022",Female,Theft,Persons Chargesheeted,8
India,"Calendar Year (Jan - Dec), 2022",Female,Theft,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Female,Theft,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Female,Theft,Persons Acquitted,1
India,"Calendar Year (Jan - Dec), 2022",Transgender,Assault on Women with Intent to Outrage her Modesty,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Assault on Women with Intent to Outrage her Modesty,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Assault on Women with Intent to Outrage her Modesty,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Assault on Women with Intent to Outrage her Modesty,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Assault on Women with Intent to Outrage her Modesty,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to Commit Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to Commit Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to Commit Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to Commit Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to Commit Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to commit Culpable Homicide,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to commit Culpable Homicide,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to commit Culpable Homicide,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to commit Culpable Homicide,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Attempt to commit Culpable Homicide,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Cheating,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Cheating,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Cheating,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Cheating,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Cheating,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Intimidation,Persons Arrested,4
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Intimidation,Persons Chargesheeted,4
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Intimidation,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Intimidation,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Intimidation,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Trespass,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Trespass,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Trespass,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Trespass,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Criminal Trespass,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Culpable Homicide not amounting to Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Culpable Homicide not amounting to Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Culpable Homicide not amounting to Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Culpable Homicide not amounting to Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Culpable Homicide not amounting to Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity with Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity with Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity with Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity with Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Dacoity with Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Extortion,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Extortion,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Extortion,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Extortion,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Extortion,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Forgery,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Forgery,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Forgery,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Forgery,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Forgery,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,"Forgery , Cheating & Fraud",Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,"Forgery , Cheating & Fraud",Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,"Forgery , Cheating & Fraud",Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,"Forgery , Cheating & Fraud",Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,"Forgery , Cheating & Fraud",Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Fraud,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Fraud,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Fraud,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Fraud,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Fraud,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Grievous Hurt,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Grievous Hurt,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Grievous Hurt,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Grievous Hurt,Persons Discharged,0
