Country,State,Year,Price Type,"Agriculture, Forestry And Fishing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Mining And Quarrying (UOM:INR(IndianRupees)), Scaling Factor:10000000","Manufacturing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Electricity, Gas, Water Supply And Other Utility Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Construction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Trade, Repair, Hotels And Restaurants (UOM:INR(IndianRupees)), Scaling Factor:10000000","Transport, Storage, Communication And Services Related To Broadcasting (UOM:INR(IndianRupees)), Scaling Factor:10000000","Financial Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Real Estate, Ownership Of Dwelling And Professional Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Public Administration, Defence And Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Net State Value Added (Nsva) At Basic Prices (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Manipur,"Financial Year (Apr - Mar), 2013",Current Prices,31.99,,3.64,3.2,11.27,21.23,8.12,2.78,12.74,19.76,26.23,140.97
India,Manipur,"Financial Year (Apr - Mar), 2013",Constant Prices,26.39,,3.25,3.89,10.46,18.62,7.07,2.68,11.47,16.53,21.87,122.24
India,Meghalaya,"Financial Year (Apr - Mar), 2013",Current Prices,31.78,16.16,35.19,2.84,11,36.6,9.25,5.96,10.98,16.28,17.17,193.21
India,Meghalaya,"Financial Year (Apr - Mar), 2013",Constant Prices,30.4,14.1,33.82,3.68,9.37,32.1,7.78,5.45,9.61,13.62,14.66,174.58
India,Mizoram,"Financial Year (Apr - Mar), 2013",Current Prices,18.22,0.7,0.68,6.71,10.67,10.02,3.75,2.11,4.07,14.83,16.53,88.3
India,Mizoram,"Financial Year (Apr - Mar), 2013",Constant Prices,15.04,0.67,0.56,5.65,9.38,9.27,3.27,1.93,3.47,13.67,13.94,76.85
India,Nagaland,"Financial Year (Apr - Mar), 2013",Current Prices,49.39,0.69,1.2,2.29,11.07,12.71,5.71,5.61,11.79,20.71,22.37,143.54
India,Nagaland,"Financial Year (Apr - Mar), 2013",Constant Prices,38.14,0.6,0.95,1.59,7.47,10.64,4.98,5.13,10.53,18.61,18.92,117.58
India,Odisha,"Financial Year (Apr - Mar), 2013",Current Prices,530.37,245.73,406.77,76.17,217.41,268.96,136.87,94.63,187.35,108.95,176.23,2449.45
India,Odisha,"Financial Year (Apr - Mar), 2013",Constant Prices,405.06,272.12,379.81,72.24,201.26,238.14,126.17,91.39,164.14,96.84,150.75,2197.92
India,Puducherry,"Financial Year (Apr - Mar), 2013",Current Prices,8.18,3.76,51.33,1.97,27.91,18.32,6.99,6.78,17.04,5.84,22.84,170.97
India,Puducherry,"Financial Year (Apr - Mar), 2013",Constant Prices,6.7,1.93,48.07,1.71,24.77,15.9,6.15,6.2,13.37,5.77,18.56,149.13
India,Punjab,"Financial Year (Apr - Mar), 2013",Current Prices,868.92,0.75,359.1,63.54,211.94,309.2,131.72,168.14,243.28,120.5,263.8,2740.9
India,Punjab,"Financial Year (Apr - Mar), 2013",Constant Prices,779.26,0.65,325.79,50.74,186.9,275.37,118.24,157.87,221.68,114.65,242.01,2473.16
India,Rajasthan,"Financial Year (Apr - Mar), 2013",Current Prices,1381.48,338.59,415.85,70.87,493.8,583.03,258.37,168.53,495.46,130.62,328.93,4665.54
India,Rajasthan,"Financial Year (Apr - Mar), 2013",Constant Prices,1253.04,298.54,379.99,48.4,420.4,483.37,227.82,162.55,434.86,108.79,280.57,4098.33
India,Sikkim,"Financial Year (Apr - Mar), 2013",Current Prices,10.74,0.11,50.19,12.84,7.1,6.45,3.57,1.96,4.2,7.38,12.04,116.58
